policy_id,month,age,tenure_m,premium,coverage,premium_change_90d,region,has_agent,is_smoker,dependents,lapse_next_3m,post_event_call_count
1,2023-01,52,75,60.402821684343046,6723.270825562546,-0.000386227879186147,S,1,0,1,0,0
2,2023-01,42,2,225.2536527269418,16070.981259040465,0.0019034176216076873,N,1,0,1,1,5
3,2023-01,54,22,156.50725792930857,13434.076443161657,0.06722776969106796,S,1,0,1,0,1
4,2023-01,67,23,454.4928642734989,59115.5596628565,0.03351754841006962,N,0,0,1,0,0
5,2023-01,41,24,152.38421109848224,12777.119109387702,0.13320318116312338,W,0,0,0,0,0
6,2023-01,41,42,173.0899057876432,9634.443325988083,0.17252856569693448,C,1,0,3,0,0
7,2023-01,68,7,123.74081634499919,14520.004773874998,-0.09863745920523426,N,0,0,3,0,0
8,2023-01,56,1,120.07479996347836,9726.321115044593,0.08904185854902073,C,0,0,3,0,1
9,2023-01,37,30,158.1639470430181,9258.423661404304,-0.025191493287115764,E,1,0,0,0,0
10,2023-01,53,23,186.21457239508513,14754.330198864081,0.10504582803069587,S,1,0,1,0,0
11,2023-01,38,21,123.57136861188815,18513.436239502895,0.07562867286022294,N,1,0,0,1,5
12,2023-01,38,1,176.81740165748917,21758.55305053818,-0.1497548961160161,E,1,1,0,0,0
13,2023-01,48,39,155.74192592908693,22212.133156200285,-0.16057908599815982,W,1,0,1,0,0
14,2023-01,18,67,96.42758695877926,5160.425621756254,0.01515388808252708,W,0,0,1,0,1
15,2023-01,19,7,80.2899837986881,8121.225631236462,0.05833722312714149,N,1,0,1,1,4
16,2023-01,36,3,124.58594274024831,17543.345976937086,0.06158547981500861,N,0,0,0,0,2
17,2023-01,29,115,125.28288193307057,6573.042268259716,-0.01964917000792602,S,0,0,2,0,0
18,2023-01,49,95,113.1494952476227,6905.250376586413,0.0034769014593268284,S,1,0,1,0,1
19,2023-01,31,19,137.4979233562645,18804.47540438547,0.03639713400560984,N,0,0,3,0,1
20,2023-01,23,18,130.0298004702872,14788.351965436965,-0.12838538868586388,S,0,0,1,0,1
21,2023-01,66,53,270.96458731034306,28182.097731761238,0.04005029568627704,W,0,0,2,0,1
22,2023-01,41,21,147.54428572269828,20167.438644733033,0.035321918183079504,C,1,0,1,0,0
23,2023-01,46,122,188.05589717922024,9468.818480747499,0.19362771126445633,S,0,0,1,0,1
24,2023-01,23,1,94.03663693953779,7097.497880113081,-0.05204029902394508,C,1,0,1,0,1
25,2023-01,36,14,89.63197509247516,5367.75727322113,-0.18517647462704184,S,0,0,2,0,0
26,2023-01,46,1,269.5389905620741,25448.36752114458,0.19878065647620854,E,1,1,1,0,0
